LIST_1,LIST_3,*LIST_4,LIST_7,LIST_9,LIST_35
abide,accept,accept,adjure,admonish,appear
accept,acknowledge,advise,admonish,advise,befall
acknowledge,add,advocate,advise,allow,chance
add,adduce,allow,allow,answer,come
adduce,adjudge,approve,answer,apprise,come out
adjudge,admit,arrange,apprise,ask,come to pass
admit,adumbrate,ask,assure,assure,develop
adumbrate,advance,authorize,beg,bet,emerge
advertise,advertise,beg,bespeak,cable,ensue
advise,advise,cause,bet,caution,fall out
advocate,advocate,caution,cable,convince,figure
affect,affirm,challenge,caution,counsel,follow
affirm,agree,choose,convince,forewarn,happen
agree,air,consent,counsel,give,occur
allege,allege,contrive,decide,grant,remain
allow,allow,counsel,entreat,guarantee,result
announce,announce,decide,flatter,inform,seem
annunciate,annunciate,decree,forewarn,instruct,transpire
answer,answer,demand,give,notify,
anticipate,anticipate,desire,grant,persuade,
appreciate,appreciate,determine,guarantee,phone,
apprehend,apprehend,dictate,impress upon,promise,
argue,approve,direct,inform,radio,
arrange,argue,encourage,instruct,remind,
articulate,arrange,enjoin,keep from,show,
ascertain,articulate,ensure,message,signal,
assert,ascertain,entail,motion,teach,
assess,assert,entreat,notify,telephone,
assume,assess,exhort,persuade,telegraph,
augur,assume,forbid,phone,tell,
aver,augur,force,plead with,warn,
avouch,aver,gesture,pledge,wire,
avow,avouch,grant,promise,write,
bear_in_mind,avow,guarantee,prove,,
begin,bear in mind,had rather,radio,,
behold,behold,hint,read,,
believe,believe,implore,reassure,,
bet,bet,imply,remind,,
betoken,betray,indicate,ring,,
betray,boast,insist,satisfy,,
boast,bring forth,instruct,show,,
brag,bring out,insure,signal,,
bring forth,bring to light,intend,teach,,
bring out,bring up,intimate,telephone,,
bring to light,broadcast,involve,telegraph,,
bring up,cable,motion,tell,,
broadcast,calculate,move,urge,,
cable,call to mind,necessitate,wager,,
calculate,caution,occasion,warn,,
call to mind,certify,opine,warrant,,
can help,challenge,ordain,wire,,
can stand,charge,order,write,,
can tell,check,permit,,,
care,circulate,petition,,,
catch,cite,plan,,,
cause,claim,plead,,,
caution,communicate,pray,,,
certify,complain,preclude,,,
challenge,comprehend,prefer,,,
charge,compute,premise,,,
check,concede,premiss,,,
choose,conceive,prescribe,,,
cite,conclude,presuppose,,,
claim,confess,propose,,,
commence,confide,provide,,,
communicate,confirm,recommend,,,
complain,conjecture,request,,,
comprehend,consider,require,,,
compute,construe,resolve,,,
concede,contemplate,rule,,,
conclude,contend,sanction,,,
confess,contest,secnd,,,
confide,contribute,see fit,,,
confirm,controvert,specify,,,
conjecture,convey,stipulate,,,
consider,corroborate,submit,,,
construe,counsel,suffer,,,
contemplate,counterclaim,suggest,,,
contend,count on,take care,,,
contest,covenant,urge,,,
continue,criticize,vote,,,
contribute,debate,warrant,,,
controvert,decide,will,,,
convey,declare,,,,
corroborate,decree,,,,
counsel,deduce,,,,
count,delineate,,,,
counterclaim,demonstrate,,,,
covenant,deny,,,,
cry,depone,,,,
cry out,depose,,,,
decide,descry,,,,
declare,desire,,,,
decree,destine,,,,
deduce,detect,,,,
delineate,determine,,,,
demonstrate,disallow,,,,
denote,disapprove of,,,,
deny,disbelieve,,,,
depone,discern,,,,
depose,disclaim,,,,
depreciate,disclose,,,,
descry,discover,,,,
deserve,discuss,,,,
designate,dislike,,,,
desire,display,,,,
detect,dispute,,,,
determine,distinguish,,,,
dictate,divine,,,,
disallow,divulge,,,,
disbelieve,document,,,,
discern,doubt,,,,
disclaim,dream of,,,,
disclose,echo,,,,
discover,elaborate,,,,
discuss,elicit,,,,
dislike,emphasize,,,,
display,endure,,,,
dispute,ensure,,,,
distinguish,entail,,,,
divine,enter,,,,
divulge,enunciate,,,,
document,envisage,,,,
doubt,establish,,,,
dread,estimate,,,,
dream,evidence,,,,
echo,exclude,,,,
elaborate,excuse,,,,
elect,exhibit,,,,
elicit,expect,,,,
emphasize,explain,,,,
endure,expostulate,,,,
enjoy,express,,,,
ensure,fancy,,,,
entail,favor,,,,
enter,fear,,,,
enunciate,feel,,,,
envisage,feign,,,,
establish,figure,,,,
estimate,find,,,,
evidence,find out,,,,
exclude,forbid,,,,
excuse,forecast,,,,
exhibit,foresee,,,,
expect,foretell,,,,
explain,forget,,,,
expostulate,forgive,,,,
express,gamble,,,,
extrapolate,gather,,,,
fancy,get,,,,
favor,give,,,,
fear,give out,,,,
feel,glean,,,,
feign,grant,,,,
figure,grasp,,,,
find,guarantee,,,,
find out,guess,,,,
forbid,hate,,,,
forecast,hear,,,,
foresee,hint,,,,
foretell,hold,,,,
forget,hope,,,,
forgive,hypothesize,,,,
furnish,ignore,,,,
gamble,illustrate,,,,
gather,imagine,,,,
gesture,impart,,,,
get,imply,,,,
get out,include,,,,
give out,indicate,,,,
glean,infer,,,,
grant,insert,,,,
grasp,insinuate,,,,
guarantee,insist,,,,
guess,instance,,,,
hate,insure,,,,
hear,intend,,,,
hint,intimate,,,,
hold,intuit,,,,
hope,iterate,,,,
hypothesize,judge,,,,
ignore,justify,,,,
illustrate,keep in mind,,,,
imagine,know,,,,
impart,lament,,,,
imply,lay down,,,,
import,learn,,,,
include,let fall,,,,
indicate,let slip,,,,
infer,like,,,,
insert,make certain,,,,
insinuate,make known,,,,
insist,make out,,,,
instance,make sure,,,,
insure,maintain,,,,
intend,mark,,,,
interject,mean,,,,
intimate,measure,,,,
intuit,mention,,,,
involve,message,,,,
iterate,mind,,,,
judge,mirror,,,,
keep in mind,misunderstand,,,,
know,mumble,,,,
lay down,necessitate,,,,
learn,neglect,,,,
let fall,note,,,,
let on,notice,,,,
let slip,observe,,,,
lie,offer,,,,
like,omit,,,,
love,opine,,,,
make certain,ordain,,,,
make known,outline,,,,
make out,overhear,,,,
make sure,overlook,,,,
maintain,own,,,,
manifest,perceive,,,,
mark,phone,,,,
mean,plan,,,,
meditate,plead,,,,
mention,pledge,,,,
message,point out,,,,
mind,posit,,,,
mirror,postulate,,,,
miss,pray,,,,
mistrust,preach,,,,
misunderstand,preclude,,,,
motion,predestinate,,,,
mumble,predestine,,,,
necessitate,predetermine,,,,
neglect,predict,,,,
note,prefer,,,,
notice,premise,,,,
observe,premiss,,,,
offer,presage,,,,
omit,present,,,,
opine,presume,,,,
ordain,presuppose,,,,
outline,pretend,,,,
overhear,proclaim,,,,
overlook,profess,,,,
own,prognosticate,,,,
perceive,promise,,,,
phone,promulgate,,,,
