	worker_indices	worker_unique_ids	question_indices	ratings	guid	worker_group
0	0	round1_batch0_worker0	0	1	1_0_t0	0
1	0	round1_batch0_worker0	1	1	1_0_t1	0
2	0	round1_batch0_worker0	2	1	1_0_t10	0
3	0	round1_batch0_worker0	3	0	1_0_t11	0
4	0	round1_batch0_worker0	4	1	1_0_t12	0
5	0	round1_batch0_worker0	5	0	1_0_t13	0
6	0	round1_batch0_worker0	6	0	1_0_t14	0
7	0	round1_batch0_worker0	7	1	1_0_t15	0
8	0	round1_batch0_worker0	8	0	1_0_t16	0
9	0	round1_batch0_worker0	9	0	1_0_t17	0
10	0	round1_batch0_worker0	10	1	1_0_t18	0
11	0	round1_batch0_worker0	11	1	1_0_t19	0
12	0	round1_batch0_worker0	12	0	1_0_t2	0
13	0	round1_batch0_worker0	13	2	1_0_t20	0
14	0	round1_batch0_worker0	14	1	1_0_t21	0
15	0	round1_batch0_worker0	15	1	1_0_t22	0
16	0	round1_batch0_worker0	16	2	1_0_t23	0
17	0	round1_batch0_worker0	17	2	1_0_t24	0
18	0	round1_batch0_worker0	18	1	1_0_t25	0
19	0	round1_batch0_worker0	19	2	1_0_t26	0
20	0	round1_batch0_worker0	20	0	1_0_t27	0
21	0	round1_batch0_worker0	21	1	1_0_t28	0
22	0	round1_batch0_worker0	22	1	1_0_t29	0
23	0	round1_batch0_worker0	23	0	1_0_t3	0
24	0	round1_batch0_worker0	24	1	1_0_t4	0
25	0	round1_batch0_worker0	25	1	1_0_t5	0
26	0	round1_batch0_worker0	26	2	1_0_t6	0
27	0	round1_batch0_worker0	27	0	1_0_t7	0
28	0	round1_batch0_worker0	28	0	1_0_t8	0
29	0	round1_batch0_worker0	29	2	1_0_t9	0
30	1	round1_batch0_worker1	0	1	1_0_t0	1
31	1	round1_batch0_worker1	1	1	1_0_t1	1
32	1	round1_batch0_worker1	2	1	1_0_t10	1
33	1	round1_batch0_worker1	3	0	1_0_t11	1
34	1	round1_batch0_worker1	4	0	1_0_t12	1
35	1	round1_batch0_worker1	5	2	1_0_t13	1
36	1	round1_batch0_worker1	6	0	1_0_t14	1
37	1	round1_batch0_worker1	7	2	1_0_t15	1
38	1	round1_batch0_worker1	8	2	1_0_t16	1
39	1	round1_batch0_worker1	9	2	1_0_t17	1
40	1	round1_batch0_worker1	10	1	1_0_t18	1
41	1	round1_batch0_worker1	11	1	1_0_t19	1
42	1	round1_batch0_worker1	12	0	1_0_t2	1
43	1	round1_batch0_worker1	13	2	1_0_t20	1
44	1	round1_batch0_worker1	14	1	1_0_t21	1
45	1	round1_batch0_worker1	15	1	1_0_t22	1
46	1	round1_batch0_worker1	16	2	1_0_t23	1
47	1	round1_batch0_worker1	17	2	1_0_t24	1
48	1	round1_batch0_worker1	18	2	1_0_t25	1
49	1	round1_batch0_worker1	19	2	1_0_t26	1
50	1	round1_batch0_worker1	20	0	1_0_t27	1
51	1	round1_batch0_worker1	21	2	1_0_t28	1
52	1	round1_batch0_worker1	22	1	1_0_t29	1
53	1	round1_batch0_worker1	23	1	1_0_t3	1
54	1	round1_batch0_worker1	24	2	1_0_t4	1
55	1	round1_batch0_worker1	25	1	1_0_t5	1
56	1	round1_batch0_worker1	26	2	1_0_t6	1
57	1	round1_batch0_worker1	27	0	1_0_t7	1
58	1	round1_batch0_worker1	28	0	1_0_t8	1
59	1	round1_batch0_worker1	29	2	1_0_t9	1
60	2	round1_batch0_worker2	0	1	1_0_t0	2
61	2	round1_batch0_worker2	1	1	1_0_t1	2
62	2	round1_batch0_worker2	2	1	1_0_t10	2
63	2	round1_batch0_worker2	3	0	1_0_t11	2
64	2	round1_batch0_worker2	4	1	1_0_t12	2
65	2	round1_batch0_worker2	5	0	1_0_t13	2
66	2	round1_batch0_worker2	6	0	1_0_t14	2
67	2	round1_batch0_worker2	7	2	1_0_t15	2
68	2	round1_batch0_worker2	8	1	1_0_t16	2
69	2	round1_batch0_worker2	9	2	1_0_t17	2
70	2	round1_batch0_worker2	10	1	1_0_t18	2
71	2	round1_batch0_worker2	11	2	1_0_t19	2
72	2	round1_batch0_worker2	12	0	1_0_t2	2
73	2	round1_batch0_worker2	13	1	1_0_t20	2
74	2	round1_batch0_worker2	14	1	1_0_t21	2
75	2	round1_batch0_worker2	15	1	1_0_t22	2
76	2	round1_batch0_worker2	16	2	1_0_t23	2
77	2	round1_batch0_worker2	17	2	1_0_t24	2
78	2	round1_batch0_worker2	18	2	1_0_t25	2
79	2	round1_batch0_worker2	19	2	1_0_t26	2
80	2	round1_batch0_worker2	20	0	1_0_t27	2
81	2	round1_batch0_worker2	21	1	1_0_t28	2
82	2	round1_batch0_worker2	22	1	1_0_t29	2
83	2	round1_batch0_worker2	23	1	1_0_t3	2
84	2	round1_batch0_worker2	24	1	1_0_t4	2
85	2	round1_batch0_worker2	25	1	1_0_t5	2
86	2	round1_batch0_worker2	26	2	1_0_t6	2
87	2	round1_batch0_worker2	27	1	1_0_t7	2
88	2	round1_batch0_worker2	28	0	1_0_t8	2
89	2	round1_batch0_worker2	29	2	1_0_t9	2
90	3	round1_batch0_worker3	0	2	1_0_t0	3
91	3	round1_batch0_worker3	1	1	1_0_t1	3
92	3	round1_batch0_worker3	2	1	1_0_t10	3
93	3	round1_batch0_worker3	3	0	1_0_t11	3
94	3	round1_batch0_worker3	4	1	1_0_t12	3
95	3	round1_batch0_worker3	5	1	1_0_t13	3
96	3	round1_batch0_worker3	6	1	1_0_t14	3
97	3	round1_batch0_worker3	7	2	1_0_t15	3
98	3	round1_batch0_worker3	8	2	1_0_t16	3
99	3	round1_batch0_worker3	9	1	1_0_t17	3
100	3	round1_batch0_worker3	10	1	1_0_t18	3
101	3	round1_batch0_worker3	11	1	1_0_t19	3
102	3	round1_batch0_worker3	12	0	1_0_t2	3
103	3	round1_batch0_worker3	13	2	1_0_t20	3
104	3	round1_batch0_worker3	14	2	1_0_t21	3
105	3	round1_batch0_worker3	15	1	1_0_t22	3
106	3	round1_batch0_worker3	16	2	1_0_t23	3
107	3	round1_batch0_worker3	17	2	1_0_t24	3
108	3	round1_batch0_worker3	18	1	1_0_t25	3
109	3	round1_batch0_worker3	19	2	1_0_t26	3
110	3	round1_batch0_worker3	20	0	1_0_t27	3
111	3	round1_batch0_worker3	21	1	1_0_t28	3
112	3	round1_batch0_worker3	22	1	1_0_t29	3
113	3	round1_batch0_worker3	23	1	1_0_t3	3
114	3	round1_batch0_worker3	24	1	1_0_t4	3
115	3	round1_batch0_worker3	25	1	1_0_t5	3
116	3	round1_batch0_worker3	26	1	1_0_t6	3
117	3	round1_batch0_worker3	27	0	1_0_t7	3
118	3	round1_batch0_worker3	28	0	1_0_t8	3
119	3	round1_batch0_worker3	29	2	1_0_t9	3
120	4	round1_batch0_worker4	0	2	1_0_t0	4
121	4	round1_batch0_worker4	1	1	1_0_t1	4
122	4	round1_batch0_worker4	2	1	1_0_t10	4
123	4	round1_batch0_worker4	3	0	1_0_t11	4
124	4	round1_batch0_worker4	4	1	1_0_t12	4
125	4	round1_batch0_worker4	5	1	1_0_t13	4
126	4	round1_batch0_worker4	6	1	1_0_t14	4
127	4	round1_batch0_worker4	7	2	1_0_t15	4
128	4	round1_batch0_worker4	8	1	1_0_t16	4
129	4	round1_batch0_worker4	9	2	1_0_t17	4
130	4	round1_batch0_worker4	10	1	1_0_t18	4
131	4	round1_batch0_worker4	11	1	1_0_t19	4
132	4	round1_batch0_worker4	12	0	1_0_t2	4
133	4	round1_batch0_worker4	13	2	1_0_t20	4
134	4	round1_batch0_worker4	14	1	1_0_t21	4
135	4	round1_batch0_worker4	15	2	1_0_t22	4
136	4	round1_batch0_worker4	16	2	1_0_t23	4
137	4	round1_batch0_worker4	17	2	1_0_t24	4
138	4	round1_batch0_worker4	18	2	1_0_t25	4
139	4	round1_batch0_worker4	19	2	1_0_t26	4
