startDate	startTime	comments	criticisms	HitCorrect	HitFamiliar	age	gender	education	party	state	endTime	timeSpent	poll1	poll2	poll3	poll4	poll5	poll6	poll7	batch	round
Tue Nov 19 2019 20:02:32 GMT-0500 (Eastern Standard Time)	1574211752269			0	1	24	male	graduated_college	democrat	GA	1574212093695	5.690433333333332	indeed	extremely	people	yes	very	weekly	somewhat	0	1
Tue Nov 19 2019 20:07:34 GMT-0500 (Eastern Standard Time)	1574212054557		It was very straightforward and had a great interface. Thank you for the opportunity to participate.	0	1	26	male	graduated_high_school	other	IL	1574212432051	6.291566666666666	indeed	extremely	people	yes	extremely	month	somewhat	0	1
Tue Nov 19 2019 20:11:02 GMT-0500 (Eastern Standard Time)	1574212262263			0	1	28	female	graduated_college	democrat	SC	1574212675228	6.88275	indeed	very	people	yes	extremely	many_weekly	somewhat	0	1
Tue Nov 19 2019 17:05:32 GMT-0800 (Pacific Standard Time)	1574211932840		it would be nice to be able to go backwards in the hit to change an input - only because a couple times I realized an agree was more of a neutral or vice versa	0	404	45	female	higher_degree	independent	CA	1574212963022	17.1697	indeed	extremely	people	yes	very	weekly	very	0	1
Tue Nov 19 2019 19:21:36 GMT-0600 (Central Standard Time)	1574212896270			0	1	38	female	graduated_high_school	republican	KY	1574213349638	7.556133333333332	indeed	extremely	natural	no	not	month	not	0	1
Tue Nov 19 2019 20:17:50 GMT-0500 (Eastern Standard Time)	1574212670557			0	0	37	male	graduated_college	democrat	NJ	1574213419095	12.475633333333333	indeed	extremely	people	yes	extremely	many_weekly	extremely	0	1
Tue Nov 19 2019 20:51:05 GMT-0500 (Eastern Standard Time)	1574214665067	I have none thanks!	I feel like some of the answers could be between the three options. For example, a neutral statement can imply leaning towards agree or disagree.	0	1	37	male	graduated_college	democrat	GA	1574215927876	21.046816666666672	indeed	extremely	people	yes	very	many_weekly	somewhat	0	1
Tue Nov 19 2019 16:46:24 GMT-1000 (Hawaii-Aleutian Standard Time)	1574217984256			0	1	38	female	graduated_college	democrat	HI	1574218262949	4.6448833333333335	indeed	very	people	yes	extremely	weekly	extremely	0	1
Wed Nov 20 2019 12:42:58 GMT-0500 (Eastern Standard Time)	1574271778554	This was great, I enjoyed it		0	1	48	female	graduated_high_school	republican	NC	1574272286366	8.463533333333332	indeed	moderately	equal	yes	moderately	many_weekly	moderately	1	1
Wed Nov 20 2019 12:44:11 GMT-0500 (Eastern Standard Time)	1574271851845	that was tricky thank you	some nuetral things that are said seem to support or deny global warming	0	1	38	male	graduated_college	independent	MI	1574272398583	9.1123	indeed	very	natural	yes	somewhat	month	moderately	1	1
Wed Nov 20 2019 12:48:50 GMT-0500 (Eastern Standard Time)	1574272130959			0	1	41	female	graduated_college	democrat	NC	1574272514004	6.384083333333334	indeed	very	people	yes	very	month	somewhat	1	1
