	MACE_pred	av_rating	sentence	worker_0	worker_1	worker_2	worker_3	worker_4	worker_5	worker_6	worker_7	round	batch	sent_id	disagree	agree	neutral
0	disagrees	-1.0	Global warming is a hoax.	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	1	0	s0			
1	neutral	0.375	Alarming levels of sea level rise are predicted to threaten Florida over the next decades.	neutral	neutral	neutral	agrees	agrees	neutral	neutral	agrees	1	0	s1			
2	neutral	0.0	Over the past several years, the United States has seen an increase in business growth that has counteracted the lingering effects of the recession.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	1	0	s2			
3	agrees	1.0	Global warming is happening and it will be dangerous to human health and welfare.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	1	0	s3			
4	neutral	0.0	Some icebergs are cute.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	1	0	s4			
5	agrees	0.625	Warmer-than-normal sea surface temperatures are a key player in the development of hurricanes such as Katrina and superstorm Sandy, which hit the U.S. east coast in 2011.	neutral	neutral	neutral	agrees	agrees	agrees	agrees	agrees	1	0	t0	0.003105450195522259	0.7112601909562432	0.2856343588482345
6	neutral	0.0	We will continue to rely in part on fossil fuels while we transition to a low-carbon economy .	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	1	0	t1	0.0008302056361343422	0.0011633968445967954	0.9980063975192688
7	neutral	0.0	The actual rise in sea levels measured only 1.2 millimeters instead of the previously accepted 1.6 to 1.9 millimeters.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	1	0	t10	0.0008023981446615251	0.0011741847241593588	0.9980234171311791
8	disagrees	-1.0	Claims of global warming have been greatly exaggerated.	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	1	0	t11	0.9976949697899088	0.0011706113493046677	0.0011344188607863613
9	neutral	-0.125	The Intergovernmental Panel on Climate Change should be clearer on how it draws conclusions from the body of research it assesses when gauging the impacts of global warming.	neutral	disagrees	neutral	neutral	neutral	neutral	neutral	neutral	1	0	t12	0.031351103813383345	0.0029620831143419577	0.9656868130722748
10	disagrees	-0.375	Evidence now leans against global warming resulting from human-related greenhouse gas emissions.	disagrees	agrees	disagrees	neutral	neutral	disagrees	neutral	disagrees	1	0	t13	0.5354619451184495	0.06394660745295935	0.4005914474285913
11	disagrees	-0.625	Flooding has been going on forever.	disagrees	disagrees	disagrees	neutral	neutral	neutral	disagrees	disagrees	1	0	t14	0.7109930181908649	0.0045164797497230956	0.28449050205941195
12	agrees	0.875	Simply reducing emissions will not sufficiently limit global warming.	neutral	agrees	agrees	agrees	agrees	agrees	agrees	agrees	1	0	t15	0.0017036630845652435	0.9733360767289408	0.024960260186493898
13	neutral	0.25	Climate deniers blame global warming on aliens from outer space.	disagrees	agrees	neutral	agrees	neutral	neutral	agrees	neutral	1	0	t16	0.0519086521947938	0.3878527042629064	0.5602386435422999
14	agrees	0.125	Global warming is inevitably going to be, at best, managed .	disagrees	agrees	agrees	neutral	agrees	neutral	disagrees	neutral	1	0	t17	0.1994170577102589	0.4776982095748759	0.3228847327148652
15	neutral	0.0	Some parts of the world the world, such as the coast of California, saw sea levels fall.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	1	0	t18	0.0007999830946563442	0.0011837082893774813	0.9980163086159662
16	neutral	0.375	If carbon dioxide emissions continue to rise beyond 2020, or even remain level, the temperature goals set in Paris become almost unattainable.	neutral	neutral	agrees	neutral	neutral	neutral	agrees	agrees	1	0	t19	0.0032699080813876377	0.3362163452011481	0.6605137467174642
17	disagrees	-0.875	The study is one more example that you can get any answer you want when the thermometer data errors are larger than the global warming signal you are looking for.	disagrees	disagrees	disagrees	disagrees	disagrees	neutral	disagrees	disagrees	1	0	t2	0.9774752638680391	0.0024101080383205284	0.02011462809364048
18	agrees	0.75	Millions more people around the world are threatened by river floods in coming decades due to climate change.	agrees	agrees	neutral	agrees	agrees	agrees	agrees	neutral	1	0	t20	0.002645802336411186	0.869270009220085	0.12808418844350372
19	neutral	0.125	45 % of the general public view perceived global warming as caused by humans.	neutral	neutral	neutral	agrees	neutral	neutral	neutral	neutral	1	0	t21	0.001903662893323189	0.03655677627088887	0.961539560835788
20	agrees	0.5	Two billion people may be displaced by rising sea levels by the turn of the next century.	neutral	neutral	neutral	neutral	agrees	agrees	agrees	agrees	1	0	t22	0.0033187811177468	0.5133335489524735	0.4833476699297798
21	agrees	1.0	Global warming is real and threatening.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	1	0	t23	0.000730152478551141	0.9982364778132766	0.0010333697081722716
22	agrees	0.875	There is a danger that we can get used to global warming.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	neutral	1	0	t24	0.001625299276450606	0.974257345131495	0.02411735559205444
23	agrees	0.625	Doing so will be central for getting global warming under control.	neutral	agrees	agrees	neutral	agrees	agrees	agrees	neutral	1	0	t25	0.003086180526438364	0.7454617536568253	0.2514520658167363
24	agrees	1.0	Global sea-level rise is both undeniable and consequential.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	1	0	t26	0.0007200413568176869	0.9982420058765812	0.001037952766601097
25	disagrees	-1.0	Global warming isn’t happening.	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	1	0	t27	0.9976607745916812	0.0011682749245403054	0.0011709504837784214
26	neutral	0.375	Carbon dioxide will hit another record high in 201.	neutral	agrees	neutral	neutral	neutral	neutral	agrees	agrees	1	0	t28	0.0033176383469177826	0.3115886257147842	0.6850937359382979
27	neutral	0.0	You now have a global marketplace for clean energy that is stable and accelerating.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	1	0	t29	0.0007786820991051307	0.0011444081770496366	0.9980769097238452
28	neutral	-0.25	Fighting global warming, the stated purpose of AB32, is a loser with California voters.	disagrees	neutral	neutral	neutral	neutral	disagrees	neutral	neutral	1	0	t3	0.1027448510482786	0.0037322952801503322	0.8935228536715711
29	neutral	0.25	Four in ten Americans (40%) have personally experienced the effects of global warming.	neutral	agrees	neutral	neutral	neutral	agrees	neutral	neutral	1	0	t4	0.002619371141788293	0.11904779334172348	0.8783328355164881
30	neutral	-0.125	Fossil fuels will be used for the foreseeable future.	neutral	neutral	neutral	neutral	neutral	neutral	disagrees	neutral	1	0	t5	0.03690441139822336	0.0028931662764624605	0.9602024223253142
31	agrees	0.75	Humans have a role and therefore as a matter of prudence we ought to have less carbon loading of the atmosphere.	agrees	agrees	agrees	neutral	agrees	neutral	agrees	agrees	1	0	t6	0.00248513457543695	0.8927853745452782	0.10472949087928488
32	disagrees	-0.75	The global warming has become a new religion.	disagrees	disagrees	neutral	disagrees	disagrees	disagrees	disagrees	neutral	1	0	t7	0.8659362921748048	0.0038127595635894474	0.13025094826160574
33	disagrees	-0.875	The global warming crowd can’t get any crazier.	disagrees	disagrees	disagrees	disagrees	disagrees	neutral	disagrees	disagrees	1	0	t8	0.976679668775352	0.0024198593722878216	0.020900471852360103
34	agrees	0.75	Global warming is mainly caused by human activity.	agrees	agrees	agrees	agrees	neutral	agrees	agrees	neutral	1	0	t9	0.002548499483978273	0.8639366695524816	0.13351483096353997
35	disagrees	-1.0	Global warming is a hoax.	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	1	1	s0			
36	agrees	0.75	Alarming levels of sea level rise are predicted to threaten Florida over the next decades.	agrees	agrees	neutral	agrees	agrees	neutral	agrees	agrees	1	1	s1			
37	neutral	0.0	Over the past several years, the United States has seen an increase in business growth that has counteracted the lingering effects of the recession.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	1	1	s2			
38	agrees	1.0	Global warming is happening and it will be dangerous to human health and welfare.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	1	1	s3			
39	neutral	0.0	Some icebergs are cute.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	1	1	s4			
40	neutral	0.5	Across the entire Arctic, forests are burning at a rate unseen in at least 10,000 years.	agrees	neutral	agrees	agrees	neutral	neutral	neutral	agrees	1	1	t0	0.0032667598868610878	0.4076832684212108	0.5890499716919282
41	agrees	0.875	Tackling climate change will be the greatest global health opportunity of the 21st century .	agrees	agrees	agrees	agrees	agrees	neutral	agrees	agrees	1	1	t1	0.001229123346364872	0.992295097009261	0.00647577964437412
42	agrees	1.0	Putting a price on carbon dioxide emissions would be central for getting global warming under control.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	1	1	t10	0.0007715970906517147	0.9980212159551918	0.0012071869541565065
43	agrees	0.875	Humans are causing global warming.	agrees	agrees	agrees	agrees	neutral	agrees	agrees	agrees	1	1	t11	0.0022384407165717485	0.9454035205578876	0.052358038725540734
44	disagrees	-0.875	There’s no sign of global warming hurting productivity yet.	disagrees	disagrees	disagrees	neutral	disagrees	disagrees	disagrees	disagrees	1	1	t12	0.9643325012734868	0.0019833523593172737	0.03368414636719598
45	agrees	0.75	The net effect will be a general and global warming of the earth.	agrees	agrees	agrees	agrees	agrees	neutral	neutral	agrees	1	1	t13	0.0026440220980772965	0.8886470522706695	0.10870892563125327
46	disagrees	-0.75	There is no scientific proof that human emissions of carbon dioxide (CO2) are the dominant cause of the minor warming of the Earth’s atmosphere over the past 100 years.	disagrees	disagrees	disagrees	disagrees	disagrees	agrees	disagrees	disagrees	1	1	t14	0.9942531836601328	0.004137062455292813	0.0016097538845743788
47	agrees	0.5	The West Antarctic Ice Sheet is going to go unstable.	agrees	agrees	neutral	neutral	agrees	neutral	neutral	agrees	1	1	t15	0.0034456401568254817	0.5414037597892405	0.4551506000539341
48	agrees	0.5	The West Antarctic ice sheet could disappear in as little as 1,000 years.	agrees	neutral	agrees	neutral	agrees	neutral	agrees	neutral	1	1	t16	0.003313726043955995	0.4595438369667025	0.5371424369893415
49	disagrees	-1.0	The data isn’t lining up with the Church of Global Warming.	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	1	1	t17	0.9981654167222708	0.000801924853962374	0.0010326584237667822
50	neutral	0.5	A modest carbon tax could pay for all of this work at a fraction the cost of a cap on emissions of greenhouse gases, the approach pursued by Europe under the Kyoto Protocol (and rejected in the United States).	agrees	neutral	agrees	agrees	neutral	agrees	neutral	neutral	1	1	t18	0.002986890345753655	0.2379070491626414	0.759106060491605
51	disagrees	-0.625	I am hoping that the scientists and politicians who have been blindly demonizing carbon dioxide for 37 years will one day open their eyes and look at the evidence.	disagrees	disagrees	agrees	disagrees	disagrees	neutral	disagrees	disagrees	1	1	t19	0.9660695654322254	0.023265344936955524	0.010665089630819092
52	neutral	0.125	The world is in the midst of only the third global coral bleaching event ever recorded.	disagrees	neutral	neutral	neutral	agrees	neutral	neutral	agrees	1	1	t2	0.0278317624376946	0.19101319751939	0.7811550400429155
53	agrees	0.625	The level of carbon dioxide in the atmosphere has never been higher.	agrees	neutral	agrees	agrees	neutral	neutral	agrees	agrees	1	1	t20	0.003402778821125899	0.6828744531196944	0.31372276805917965
54	neutral	-0.125	The earth’s cattle population actually produces more carbon dioxide than automobiles, planes, and all other forms of transport combined.	agrees	neutral	disagrees	neutral	neutral	disagrees	neutral	neutral	1	1	t21	0.051513821417090336	0.0175765913769914	0.9309095872059182
55	neutral	-0.375	There would n’t be much need for emission limits, cap and trade or carbon taxes.	disagrees	neutral	neutral	disagrees	neutral	disagrees	neutral	neutral	1	1	t22	0.1185072473026293	0.002362245226876497	0.8791305074704943
56	disagrees	-1.0	Climate alarmists’ve got it wrong on global warming.	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	1	1	t23	0.9981369381655548	0.0008071176430833418	0.0010559441913616952
57	neutral	0.375	For-profit carbon project developers work with landowners to qualify large forests for credits.	agrees	neutral	agrees	neutral	neutral	agrees	neutral	neutral	1	1	t24	0.002221346893924051	0.09240319864747693	0.9053754544585991
58	disagrees	-0.375	By now there should have been global warming equivalent to 2.8 degrees / century.	disagrees	disagrees	agrees	disagrees	neutral	neutral	neutral	disagrees	1	1	t25	0.6131910194449077	0.039498486493238	0.3473104940618543
59	neutral	0.125	Climate change models predict a 15 year period of global cooling.	agrees	neutral	neutral	disagrees	neutral	neutral	neutral	agrees	1	1	t26	0.04717167265096942	0.1243877704437837	0.8284405569052469
60	disagrees	-0.75	Data on how sea levels are rising, relied upon by the United Nations, is adjusted upward in “ arbitrary ” ways.	neutral	disagrees	disagrees	disagrees	disagrees	neutral	disagrees	disagrees	1	1	t27	0.9610785858859336	0.002079573143316728	0.03684184097074968
61	neutral	0.0	At that time, the scientific community had just launched the first satellites that provided images of the sea-ice cover from space.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	1	1	t28	0.00046179436095503465	0.0005118720625118593	0.9990263335765329
62	neutral	0.25	Air travel produces far more carbon emissions than train travel.	agrees	neutral	neutral	neutral	neutral	agrees	neutral	neutral	1	1	t29	0.0014204906690210533	0.021368420480539715	0.9772110888504392
63	agrees	0.875	The increase in extreme flood likelihood will occur prior to reaching 73-percent urbanization because of changes in climate.	agrees	agrees	agrees	agrees	agrees	neutral	agrees	agrees	1	1	t3	0.0013009040571148756	0.9919201125828568	0.006778983360028445
64	neutral	0.0	The study used real-world data to show what actually happened during floods, instead of relying on a model of what “should” happen.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	1	1	t4	0.0004526999279330021	0.000508751541765338	0.9990385485303016
65	disagrees	-0.625	Global warming is occurring more slowly than computer models forecast a decade ago.	disagrees	disagrees	neutral	disagrees	neutral	disagrees	disagrees	neutral	1	1	t5	0.6178623188610435	0.00334507375750517	0.3787926073814513
66	agrees	0.875	It is thought that the hazardous waste would stay buried and frozen forever beneath the Greenland Ice Sheet, but climate change is warming the Arctic and causing portions of the ice sheet to melt.	agrees	agrees	agrees	agrees	agrees	neutral	agrees	agrees	1	1	t6	0.0013054800991876875	0.9918999973292156	0.006794522571596561
67	agrees	1.0	Human emissions of greenhouse gases are causing global warming.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	1	1	t7	0.0007670871546221709	0.9980729892665264	0.0011599235788514195
68	agrees	1.0	The impacts of long-term global warming are already being felt in coastal flooding, heat waves, intense precipitation and ecosystem change.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	1	1	t8	0.0007926973227200965	0.9980275555748463	0.0011797471024334258
69	agrees	0.5	The value of a global push to limit the human contribution to warming exceeds the economic value of abundant fossil energy.	agrees	neutral	agrees	disagrees	agrees	agrees	agrees	neutral	1	1	t9	0.05980811470106865	0.6279443066650481	0.3122475786338833
