	over34	male	female	college_plus	democrat	independent	republican	poll1_indeed	poll2_very_extremely	poll3_natural	poll4_yes	poll5_very_extremely	poll6_weekly_plus	poll7_very_extremely	mturk_id	unique_id
0	0	1	0	1	1	0	0	1	1	0	1	1	1	0	A2RVDEU138ZF9P	round1_batch0_worker0
1	0	1	0	0	0	0	0	1	1	0	1	1	0	0	A2JDYN6QM8M5UN	round1_batch0_worker1
2	0	0	1	1	1	0	0	1	1	0	1	1	1	0	A375U716FNSE7K	round1_batch0_worker2
3	1	0	1	1	0	1	0	1	1	0	1	1	1	1	AVBRJBJONL47I	round1_batch0_worker3
4	1	0	1	0	0	0	1	1	1	1	0	0	0	0	AZBH4LJ5SL456	round1_batch0_worker4
5	1	1	0	1	1	0	0	1	1	0	1	1	1	1	A3BHRFFG75X3GO	round1_batch0_worker5
6	1	1	0	1	1	0	0	1	1	0	1	1	1	0	A1NR3COO33J99C	round1_batch0_worker6
7	1	0	1	1	1	0	0	1	1	0	1	1	1	1	AV22FQTJNBUZT	round1_batch0_worker7
8	1	0	1	0	0	0	1	1	0	0	1	0	1	0	A2IQ0QCTQ3KWLT	round1_batch1_worker0
9	1	1	0	1	0	1	0	1	1	1	1	0	0	0	ATYGSK8FR2JX8	round1_batch1_worker1
10	1	0	1	1	1	0	0	1	1	0	1	1	0	0	A3FOKP72T5I4FR	round1_batch1_worker2
11	1	0	1	0	1	0	0	1	1	0	1	1	1	0	A8028AFBBS29G	round1_batch1_worker3
12	0	1	0	1	1	0	0	1	1	0	1	0	1	0	AKZ8SFOAI4RZN	round1_batch1_worker4
13	1	0	1	1	0	0	1	0	0	0	0	0	0	0	A1P2RQ166VS5BT	round1_batch1_worker5
14	1	0	1	1	0	1	0	1	0	1	1	0	0	0	A37S96RT1P1IT2	round1_batch1_worker6
15	0	0	1	0	1	0	0	0	0	0	1	1	0	0	A2GG7HIO2OIXUR	round1_batch1_worker7
16	1	0	1	0	0	0	1	0	0	0	1	0	0	0	A377LTGWJKY2IW	round1_batch2_worker0
17	0	1	0	1	1	0	0	1	1	0	1	1	1	1	A30QJ6OLAICVI7	round1_batch2_worker1
18	0	1	0	1	1	0	0	1	0	0	1	0	1	0	A2RBVMD2HTBCZ9	round1_batch2_worker2
