Train data type,Eval set,Cased,Base model,Num epochs,Max seq length,ACCURACY,F1,,,,,,,,,,,,,,,,,,,,,
vanilla_new,dev,uncased,bert-base-uncased,3,500,0.68,0.67,,,,,,,,,,,,,,,,,,,,,
vanilla_new,test,uncased,^,-,500,0.74,0.7,*,,,,,,,,,,,,,,,,,,,,
vanilla_new + text_B,dev,uncased,bert-base-uncased,3,500,0.67,0.66,,,,,,,,,,,,,,,,,,,,,
vanilla_new + text_B,test,uncased,^,-,500,0.73,0.68,,,,,,,,,,,,,,,,,,,,,
vanilla_new,dev,uncased,LM-finetuned-all-cc-uncased,3,500,0.66,0.64,,,,,,,,,,,,,,,,,,,,,
vanilla_new,test,uncased,^,na,500,0.73,0.68,,,,,,,,,,,,,,,,,,,,,
vanilla_new + text_B,dev,uncased,LM-finetuned-all-cc-uncased,3,500,0.71,0.7,*,,,,,,,,,,,,,,,,,,,,
vanilla_new + text_B,test,uncased,^,na,500,0.74,0.69,,,,,,,,,,,,,,,,,,,,,
vanilla_new,dev,uncased,LM-finetuned-all-cc-cased,3,500,,,,,,,,,,,,,,,,,,,,,,,
vanilla_new,test,uncased,^,na,500,,,,,,,,,,,,,,,,,,,,,,,
vanilla_new,dev,uncased,LM-finetuned-both-cc-uncased,3,500,0.69,0.68,*,,,,,,,,,,,,,,,,,,,,
vanilla_new,test,uncased,^,na,500,0.72,0.66,,,,,,,,,,,,,,,,,,,,,
vanilla_new + text_B,dev,uncased,LM-finetuned-both-cc-uncased,3,500,0.69,0.68,,,,,,,,,,,,,,,,,,,,,
vanilla_new + text_B,test,uncased,^,na,500,0.73,0.68,,,,,,,,,,,,,,,,,,,,,
vanilla_new,dev,uncased,MNLI-finetuned,3,500,0.65,0.64,,,,,,,,,,,,,,,,,,,,,
vanilla_new,test,uncased,^,na,500,0.64,0.57,,,,,,,,,,,,,,,,,,,,,
vanilla_new,dev,uncased,SNLI-finetuned,3,500,0.51,0.5,,,,,,,,,,,,,,,,,,,,,
vanilla_new,test,uncased,^,na,500,0.62,0.55,,,,,,,,,,acc,F1,,,,,,,,,acc,F1
high_iaa,dev,uncased,bert-base-uncased,3,500,0.73,0.7,*,,text_b,high_iaa_fold0,test,uncased,LM-finetuned-all-cc-uncased,3,500,0.79,0.75,,text_b,high_iaa_fold0,test,uncased,LM-finetuned-all-cc-uncased,3,500,0.79,0.76
high_iaa,test,uncased,^,-,500,0.8,0.74,*,,text_b,high_iaa_fold0,test,uncased,bert-base-uncased,3,500,0.78,0.73,,text_b,high_iaa_fold0,test,uncased,bert-base-uncased,3,500,,
,,,,,,,,,,no_text_b,high_iaa_fold0,test,uncased,LM-finetuned-all-cc-uncased,3,500,0.79,0.75,,no_text_b,high_iaa_fold0,test,uncased,LM-finetuned-all-cc-uncased,3,500,,
high_iaa,dev,uncased,LM-finetuned-all-cc-uncased,3,500,0.75,0.75,,,text_b,high_iaa_fold1,test,uncased,LM-finetuned-all-cc-uncased,3,500,0.75,0.73,,text_b,high_iaa_fold1,test,uncased,LM-finetuned-all-cc-uncased,3,500,0.82,0.8
high_iaa,test,uncased,^,na,500,0.85,0.81,***test,,text_b,high_iaa_fold1,test,uncased,bert-base-uncased,3,500,0.75,0.72,,text_b,high_iaa_fold1,test,uncased,bert-base-uncased,3,500,,
,,,,,,,,,,no_text_b,high_iaa_fold1,test,uncased,LM-finetuned-all-cc-uncased,3,500,0.75,0.73,,no_text_b,high_iaa_fold1,test,uncased,LM-finetuned-all-cc-uncased,3,500,,
high_iaa,dev,uncased,LM-finetuned-both-cc-uncased,3,500,0.75,0.73,**,,text_b,high_iaa_fold2,test,uncased,LM-finetuned-all-cc-uncased,3,500,0.82,0.8,,text_b,high_iaa_fold2,test,uncased,LM-finetuned-all-cc-uncased,3,500,0.81,0.79
high_iaa,test,uncased,^,na,500,0.83,0.77,**,,text_b,high_iaa_fold2,test,uncased,bert-base-uncased,3,500,0.8,0.77,,text_b,high_iaa_fold2,test,uncased,bert-base-uncased,3,500,,
,,,,,,,,,,no_text_b,high_iaa_fold2,test,uncased,LM-finetuned-all-cc-uncased,3,500,0.82,0.8,,no_text_b,high_iaa_fold2,test,uncased,LM-finetuned-all-cc-uncased,3,500,,
high_iaa + text_b,dev,uncased,bert-base-uncased,3,500,0.8,0.77,*dev,,text_b,high_iaa_fold3,test,uncased,LM-finetuned-all-cc-uncased,3,500,0.82,0.8,,text_b,high_iaa_fold3,test,uncased,LM-finetuned-all-cc-uncased,3,500,0.8,0.77
high_iaa + text_b,test,uncased,^,-,500,0.81,0.77,,,text_b,high_iaa_fold3,test,uncased,bert-base-uncased,3,500,0.79,0.77,,text_b,high_iaa_fold3,test,uncased,bert-base-uncased,3,500,,
,,,,,,,,,,no_text_b,high_iaa_fold3,test,uncased,LM-finetuned-all-cc-uncased,3,500,0.82,0.8,,no_text_b,high_iaa_fold3,test,uncased,LM-finetuned-all-cc-uncased,3,500,,
high_iaa + text_b,dev,uncased,LM-finetuned-all-cc-uncased,3,500,0.78,0.78,,,text_b,high_iaa_fold4,test,uncased,LM-finetuned-all-cc-uncased,3,500,0.79,0.79,,text_b,high_iaa_fold4,test,uncased,LM-finetuned-all-cc-uncased,3,500,0.8,0.78
high_iaa + text_b,test,uncased,^,na,500,0.87,0.84,****test!,,text_b,high_iaa_fold4,test,uncased,bert-base-uncased,3,500,0.8,0.8,,text_b,high_iaa_fold4,test,uncased,bert-base-uncased,3,500,,
