19565,"Reading ""an early draft"" of a federal government report has helped David Ignatius see that the global warming debate is just like the tobacco wars of the past four decades [""Naysay Now, Pay Later,"" op-ed, Aug. 18].",that the global warming debate is just like the tobacco wars of the past four decades,1
92670,"We haven’t seen that in the observations,” Myles Allen, professor of geosystem science at the University of Oxford and one of the study’s authors, told the Times of London, as reported in The Independent.","that in the observations , ” Myles Allen , professor of geosystem science at the University of Oxford and one of the study ’s authors , told the Times of London , as reported in The Independent",2
152040,"Describing it as a rare hybrid “superstorm,” forecasters say Sandy was created by an Arctic jet stream wrapping itself around a tropical storm.",Sandy was created by an Arctic jet stream wrapping itself around a tropical storm,2
191315,JEFFERSON CITY o Ameren Missouri says it must decide quickly on how to comply with proposed Environmental Protection Agency rules limiting carbon pollution.,it must decide quickly on how to comply with proposed Environmental Protection Agency rules limiting carbon pollution,2
250921,"There was this exposé in the Times where you first were talking to Andrew Revkin and explaining what was happening under the Bush administration, and even before that, the suppression of your work when you testified before Congress to, what, Senator Al Gore at the time.","what was happening under the Bush administration ,",3
215017,"While Mr. Young worries whether EPA will really get the information voluntarily, the agency says in its statement that it ""expects the companies to cooperate with these voluntary requests.” It continues, “If not, EPA is prepared to use its authorities to require the information needed to carry out its study.""","that it "" expects the companies to cooperate with these voluntary requests",3
82824,She has vowed to be tough on unlicensed operators and said Malaysia is putting together new recycling-related regulations to ensure the country never becomes the “world’s dumping ground” again.,the country never becomes the “ world ’s dumping ground ” again,0
73441,"“Any theory of how we learn presupposes perceptual knowledge — that we know which facts are relevant, that we know what to look for.” The challenge for education, Dr. Kellman added, “is what do we need to do to make this happen efficiently?” Scientists have long known that the brain registers subtle patterns subconsciously, well before a person knows he or she is learning.",which facts are relevant,3
181748,"''Talk to someone who's just lost their livelihood two times in the last five years, lost their cow'' for reasons related to climate change, said Harjeet Singh, the international coordinator for the advocacy group ActionAid.","' ' Talk to someone who 's just lost their livelihood two times in the last five years , lost their cow ' ' for reasons related to climate change",0
237865,"I have 15 staff, and almost all of us are funded by EPA,” Michael Durglo, director of the Division of Environmental Protection for the Confederated Salish and Kootenai Tribes in Montana, told BuzzFeed News.","I have 15 staff , and almost all of us are funded by EPA",2
106901,Some argue that measures such as conservation won't cost much and will buy insurance against global warming.,that measures such as conservation wo n't cost much and will buy insurance against global warming,0
143590,"""I became somewhat inspired,"" he said.",I became somewhat inspired,3
61472,"“I would argue, as would many other beeologists,” he says, “that most bees are arguably cuter than most kids.” It’s hard to tell if he’s joking.",if he ’s joking,3
276801,"Gases such as carbon dioxide trap the energy that pours down on the Earth from the sun, making the Earth habitable.",the Earth habitable,0
32669,"Rescue workers tried to expand the sweater idea to pelicans during the Gulf spill in 2010, The Christian Science Monitor reported.",Rescue workers tried to   expand the sweater idea to pelicans   during the Gulf spill in 2010,0
202097,"But, you know, I know a lot of the mainstream Canadian press will kind of poopoo this, and I know our government is not here officially, nor is yours.","our government is not here officially , nor is yours",3
145042,"But that was a harmful piece of evidence to tobacco, because we were able to show — the plaintiffs were showing this congressional testimony, which was on television or a movie or whatever it was, and they were saying, look, these guys now admit — well, because in our cases, when we were defending the tobacco companies against the state lawsuits, we were already of the position of admitting that smoking can be very dangerous for your health.","look , these guys now admit — well , because in our cases , when we were defending the tobacco companies against the state lawsuits , we were already of the position of admitting that smoking can be very dangerous for your health",3
78294,"More than that, off court as well as on, and here the criticism becomes more intangible, the two best male players of the era, Federer and Rafael Nadal, have made a point of praising competitors and showing how much they love the sport and how devoted to it they are.",how much they love the sport and how devoted to it they are,3
